170003最年長的女             09    061013183705185002000100015    2 100076010603012                                                                                                                                                                      0102989898020202999999999999999898989598989898989898989898989898989898989998982401029016029990699999999991899999999999999999999999999999999990202
170006唯一合格女             09    06101521493921591500092507014  2 100156010201012                                                                                                                                                                      0102989892999999999999999999990302020103030303029802030404020402020204079908025505023029999991199999999999999999999049999999999999999999999990101
170012最年輕的男             09    06101318380518480200095254001  1 300040010603061                                                                                                                                                                      0103020201020202999999999999990303020101020404010104040404010401010405079908026806026029999990399991299999999999999999999999999999999999999990101
170022唯一合格女             09    06101318400418505800095254020  1 300036010201011                                                                                                                                                                      0102010201010102999999999999990303020103960404020104040404020403020303040299025405034019999992099999999999999999999999999999999999999019999990201
170025最年輕的男             09    06101518250218351900091202008  1 300040010402041                                                                                                                                                                      0102020201020202999999999999990302020104040404040101010401010402020305010299026007021049999990699999999992099999999999999999999999999999999990101
170031唯一合格女             09    06101319175819422200095402018  1 300016010201011                                                                                                                                                                      0102010201010102999999999999990302020104040303010101960402010401010106010299025305021049999990111999999999999999999999999999999999999999999990201
170048最年輕的男             09    06101318433718540400092303068  1 100072010403042                                                                                                                                                                      0102020292999999999999999999990303020104040404010202040404010401010106079908027405028019999996499999999999999999999999999999999999999999999110101
170056唯一合格女             09    06101319365219440500095252008  2 100048010201011                                                                                                                                                                      0102910201010101060202999999990303020104030404010101010404020402020105010199026405033039999991199999999999999999999019999999999999999999999990201
170076最年輕的女             09    06101318464118551600095256024  2 300024010301031                                                                                                                                                                      0102910201020202999999999999990103020103020204020201020203020302020205010299025704029031069991999999999999999999999999999999999999908999999990201
170078最年輕的男             09    061013184700185859000100017    1 200036010402041                                                                                                                                                                      0102029192999999999999999999990102020103020404020103030302020398020304079908015304026029999991399999999999999999999999905999999999999999999990104
170094唯一合格女             09    06101318491819050000095352034  1 300020010201011                                                                                                                                                                      0102910102999999999999029999999802029804020404010403040204020304020303989908025806023029999996399999999999999999999999999999999999999999908990201
170106唯一合格男             09    061013185646190845000100018    2 200040010101011                                                                                                                                                                      0102980102999999999999029999990302020201010404030404040404040404040406020199013801029059999122199999999999999999999999999999999999999990899990102
170121唯一合格女             09    06101318522519063100092504057  2 200024010302012                                                                                                                                                                      0102010201020102999999999999990303020102960303010101010103020401020305010299025204023029999990109999999999999999999999999999999999999999999990201
170127最年輕的男             09    06101318530719014500095252008  2 100048010403041                                                                                                                                                                      0102020201020202999999999999990102020104010404010101030403010402020203079903037104016029999990399990299999999999999999999999999999999999999990101
170136唯一合格女             09    061013185441190655000100015    2 100076010100011                                                                                                                                                                      0102020102999999999999029999999801029598010202020303030203980303980396020299012603029013019992199999999999999999999999999999999999999990299990202
170149唯一合格女             09    06101318562119154600095402018  1 300016010201011                                                                                                                                                                      0102010101010201020102999999990302020104040404960101010402020402020106010299023503013039999990103999999999999999999999999999999999999999999990201
170150最年輕的女             09    06101318562419095900092303068  1 100072010200021                                                                                                                                                                      0299980292999999999999999999990302029801030404010302010204020202020306079908025701025019999990599999999179999999999999999999999999999999999990201
170154最年長的男             09    06101318572019221900095256024  2 300024010603012                                                                                                                                                                      0191019501010202999999999999990302020104030396030101010201010401010105010299023502029069996021299999999999999999999999599999999999999999999990104
170160最年長的男             09    061013185912191438000100017    1 200036010402012                                                                                                                                                                      0102989802999999999999029999990202020101040403040104010404010404020406010299032803019069993011399999999999999999999999912999999999999999999990101
170161唯一合格男             09    06101320164720343000092504044  2 300012010201012                                                                                                                                                                      0102019201020202999999999999990303960104040404960101010404980401010106079908013805025019999991299999999999999999999991499999999999999999999990104
170173最年長的女             09    06101420061620283000092507014  2 100156010503012                                                                                                                                                                      0299029802999999999999029999990102020202039603019603030203030203030204020299013902029069996026399999999999999999999999999999999999999999911990204
170196唯一合格男             09    061013190751191755000100015    2 100076010201012                                                                                                                                                                      0299989801020202999999999999990398989503020404020296020304960402010305010299025405026029999990106999999999999999999999999999999999999999999990101
170213唯一合格男             09    06101319100619213200092303068  1 100072010201011                                                                                                                                                                      0102010102999999999999029999990302029804010404010103010303020401020404079904016004016029999990599999999069999999999999999999999999999999999990101
170220唯一合格女             09    06101319441219481700095352034  1 300020010201012                                                                                                                                                                      0102010201020202999999999999990302020104030404030101040404010401020306040299013703029069996021399999999999999999999999908999999999999999999990201
170221唯一合格女             09    06101319110119251200092504057  2 200024010201011                                                                                                                                                                      0102010201020202999999999999990303020104040404020101010401040402020306010299026304029031069990799999999999995999999999999999999999999999999990201
170222最年輕的男             09    06101319114819232100094256505  1 200024010403042                                                                                                                                                                      0102019897020202999999999999990303020103010404010304040404020401020105010299017104023029999991799999999999999999999999999999999069999999999990101
170258唯一合格女             09    06101319184419272300092507014  2 100156010302012                                                                                                                                                                      0102020102999999999999029999990302020203030303020403020204020402020304020299015304026029999991299999999999999999999991699999999999999999999990201
170266最年輕的男             09    061013191956193058000100017    1 200036010302031                                                                                                                                                                      0102010201020101020201999999990102020102030404010101010102020401020305040299027007027019999996399999999999999999999999999999999999999999903990101
170277唯一合格女             09    061013192237193018000100015    2 100076010201012                                                                                                                                                                      0102910292999999999999999999990103020103030304010101010303030303030305010299025804019016029990113999999999999999999999999999999999999999999990201
170279唯一合格男             09    061013192242194339000100018    2 200040010101011                                                                                                                                                                      0195010201020202999999999999990303020103030203020101040401020401020203069908023905039069993020113999999999999999999999999999999999999999999990101
170287最年長的男             09    06101319235519392400095256024  2 300024010603012                                                                                                                                                                      0102920102999999999999029999999802020204969604020404010203040304040404079908013203015019999991099999999999999999906999999999999999999999999990104
170291最年輕的女             09    06101319243619324900095254020  1 300036010503051                                                                                                                                                                      0102010201020202999999999999990303020104030404010101030404010403010304010299027006023029999990699999999990499999999999999999999999999999999990201
170313唯一合格女             09    06101321381021585500095254001  1 300040010201011                                                                                                                                                                      0102020102999999999999010602020396020298960302980104969603960298010202020299962503029069991066399999999999999999999999999999999999999999902990201
170324唯一合格女             09    061013193021194132000100015    2 100076010201011                                                                                                                                                                      0102979792999999999999999999990302029503029604019895010103020203960406079908014404021059999990699999999999599999999999999999999999999999999990201
170346唯一合格男             09    06101319340419411500092507014  2 100156010201011                                                                                                                                                                      0101010297020202999999999999990303020104020404010101040403010401020306079908025306021059999990799999999999907999999999999999999999999999999990101
170348最年輕的女             09    06101521591022101000087503234  2 100268010201012                                                                                                                                                                      0102010201020202999999999999990302020103020403010101010404020498020205959908027406027019999990105999999999999999999999999999999999999999999990201
170365最年長的男             09    06101319363619460200095254001  1 300040010403012                                                                                                                                                                      0102010101010202999999999999999603020104040404010101010201020403030205010299026405021049999990117999999999999999999999999999999999999999999990101
170366唯一合格女             09    06101319363919454800092303068  1 100072010201012                                                                                                                                                                      0102010201020202999999999999990303020104040404030101010303020302030203010299025605031059999990114999999999999999999999999999999999999999999990201
170373唯一合格女             09    06101319380119474100095254020  1 300036010201012                                                                                                                                                                      0102010201010202999999999999990303020103030404030102010303030303010205079908024506033019999990899999999999999019999999999999999999999999999990201
170391最年輕的男             09    06101520034520123500092507014  2 100156010402041                                                                                                                                                                      0102020292999999999999999999990302020104030303010403020203020303030304079908026607029059993021999999999999999999999999999999999999908999999990101
170398唯一合格女             09    061013194329195229000100015    2 100076010302012                                                                                                                                                                      0102020202999999999999029999990102020202030303010204010204030204030306050299015204021059999990799999999999907999999999999999999999999999999990201
170401最年長的男             09    061013194346195545000100018    2 200040010503012                                                                                                                                                                      0102010201010202999999999999990102020204040404010202010203010403020205010199023705023029999991199999999999999999999129999999999999999999999990101
170405最年輕的女             09    06101319440219591800092504057  2 200024010402041                                                                                                                                                                      0102010292999999999999999999990303020103030303020202030303030303020106079908037405959959999990799999999999910999999999999999999999999999999990201
170437唯一合格女             09    061013194715200316000100017    1 200036010100011                                                                                                                                                                      0109020292999999999999999999999602989501019604010403980103980303020205079908014302026029999991199999999999999999999089999999999999999999999990204
170443最年長的女             09    06101319492120023000095256024  2 300024010200012                                                                                                                                                                      0106910201020202999999999999990301020102030204020101010101010401019603010199025206021059999990899999999999999039999999999999999999999999999990201
170449唯一合格男             09    06101520004220240000095260001  1 200032010201012                                                                                                                                                                      0299989801020202999999999999999796029898980398980296029802020296020198010199011002029069995011199999999999999999999189999999999999999999999990102
170453唯一合格女             09    06101319483520001800095252008  2 100048010504011                                                                                                                                                                      0102020102999999999999029999990102020101020303010403020204020303960306020299014404039012149990399990699999999999999999999999999999999999999990201
170464唯一合格男             09    06101319493019572300092507014  2 100156010201012                                                                                                                                                                      0102020101010202999999999999990303020104020403020101030402020402020205010299025607022149999990399991099999999999999999999999999999999999999990101
