160003唯一合格男  999 999999913    071112210323211404000100022    2 300174010301012                                                                                                                                                                      96030203030203020202020202030396039999020203030203010799030302390502029069991031499999999999999999999999999049999999999999999990101
160012最年長的男  999 999999913    07111221040821183000096256023  20000052010603012                                                                                                                                                                      01040203960202020202020203040404039999030101010202010799080501320601029069992066399999999999999999999999999999999999999999906990101
160018唯一合格男  999 999999913    07111221044121140600096202034  2 300049010201011                                                                                                                                                                      01040104030402020202020202040404020399030101030101010799080602600402026029999996499999999999999999999999999999999999999999999100101
160019最年輕的男  999 999999913    07111221044721154300096209003  2 300016010706071                                                                                                                                                                      03030203020102960204020401040404950101040101040101050202990501640402029059992020101999999999999999999999999999999999999999999990101
160050最年輕的女  999 999999913    07111519553420072200096252021  1 200058010301011                                                                                                                                                                      01030202020203020301020102040301020104030203040205020101990402610602014019999990999999999999999990499999999999999999999999999990101
160051最年輕的女  999 999999913    07111221081921163900096252011  2 200052010401042                                                                                                                                                                      02020303030303020204040303020202069999020202040201020799080302760602027019999990399990299999999999999999999999999999999999999990201
160056最年輕的男  999 999999913    071112210842211857000200081    1 300262010402041                                                                                                                                                                      01030202020204010204020302030301040101020202010202030699080403670602021059999990999999999999999990599999999999999999999999999990101
160057唯一合格女  999 999999913    07111619003519082000094202052  1 300032010000000                                                                                                                                                                      01040104020203040202010204040404010105040101040101020201990401550401019049029991899999999999999999999999999999999990199999999990201
160068唯一合格女  999 999999913    07111221093821160800092252029  20000194010201011                                                                                                                                                                      03010402010204030204020203030303010101040101040101020201990201540502022079999990104999999999999999999999999999999999999999999990201
160086唯一合格男  999 999999913    07111221104421220400096207429  1 300040010201012                                                                                                                                                                      02020203020103020202029804040303010299040101040101020202990402160202021069999990299089999999999999999999999999999999999999999990102
160098最年輕的男  999 999999913    071115185817190751000200081    1 300262010302012                                                                                                                                                                      02030303040303010203020203030303950299030201040201029599080401730602021059999990699999999991099999999999999999999999999999999990201
160115唯一合格男  999 999999913    07111221130221211000089601214  2 300118010301011                                                                                                                                                                      02040204010102020101030404040303020299950103040103950102990302390402021069999990699999999991199999999999999999999999999999999990101
160116唯一合格男  999 999999913    07111221130321291000096256035  2 300028010201011                                                                                                                                                                      95969596029604029604040296030302950499030203040101050699950601480402021059999990799999999999911999999999999999999999999999999990104
160119最年輕的女  999 999999913    07111221132321260400096252021  1 200058010401042                                                                                                                                                                      03040203030402010203020102040403069999010102010102010101990302730601019059997010499999907999999999999999999999999999999999999990201
160125最年輕的男  999 999999913    071112211426212402000200080    2 200063010603061                                                                                                                                                                      96049696960303030396010203040303010101040101040101020201990202500402021059999991799999999999999999999999999999999079999999999990104
160132最年長的男  999 999999913    07111221151121335400095206034  1 300098010603012                                                                                                                                                                      01970404040104010104040401010404039999040204040101029599950201410501011059999990599999999049999999999999999999999999999999999990101
160137唯一合格男  999 999999913    07111221504921585200095509119  2 300067010201011                                                                                                                                                                      01040104030201960103020203030403039999040101040101020202999701450202026029999990699999999991699999999999999999999999999999999990101
160168唯一合格女  999 999999913    07111221355022122000092601129  2 300207010100011                                                                                                                                                                      01040196040496010196019601989601950102010202960203979699039601180603039069992066399999999999999999999999999999999999999999911990201
160170唯一合格男  999 999999913    07111221183421341700096256023  20000052010101011                                                                                                                                                                      03030398020298030203039803989898010499049801039802020202999801180102021059999991199999999999999999999069999999999999999999999990102
160184最年長的女  999 999999913    07111221193621374200096202034  2 300049010603012                                                                                                                                                                      03020296020202030302020203020402959599040201040101020799080201419502021059999991999999999999999999999999999999999999906999999990201
160194唯一合格男  999 999999913    07111221195421300700095207342  2 200030010201012                                                                                                                                                                      02040104040402010101020401030404020299040101039898010102990502520403021059999990399990599999999999999999999999999999999999999990101
160198唯一合格女  999 999999913    07111520061120162900096252011  2 200052010403011                                                                                                                                                                      01040298040403010204010103040404950299030101040101020101990502540402029039959990195999999999999999999999999999999999999999999990201
160207唯一合格女  999 999999913    071112212112212839000100022    2 300174010201011                                                                                                                                                                      01040196040401010201020101010101950299950203030203030799080502490602022069999992099999999999999999999999999999999999999029999990201
160230最年輕的女  999 999999913    071112212332213536000100020    1 200254010301031                                                                                                                                                                      01029803030204020404029804989802010299040101039801010799040401640402023029999991899999999999999999999999999999999990399999999990201
160259唯一合格女  999 999999913    07111518544319023700096202034  2 300049010201011                                                                                                                                                                      01010404979704020104020401020197050499040104040101980799080501620502023029999990799999999999901999999999999999999999999999999990201
160269唯一合格男  999 999999913    07111221261821331800092252029  20000194010201011                                                                                                                                                                      02030204040203020202020202030302020299030203030202010799080502510602021049999990108999999999999999999999999999999999999999999990101
160276唯一合格男  999 999999913    07111221265821351000095509119  2 300067010101011                                                                                                                                                                      01030203020202030302020103030304010105960202040201020202990201660602021049999990106999999999999999999999999999999999999999999990101
160283唯一合格男  999 999999913    07111221273421403000096207429  1 300040010401011                                                                                                                                                                      98020203039802010102030196960396020299030203020203050102990302440302021069999991999999999999999999999999999999999999907999999990101
160288唯一合格女  999 999999913    071112212838213546000200080    2 200063010201011                                                                                                                                                                      03030203030303020202040303030303050499030101970101020799089601670402029016029990399990599999999999999999999999999999999999999990201
160291唯一合格男  999 999999913    07111221285321361100092252029  20000194010101011                                                                                                                                                                      01020102010201030301030204040404010101040101040101020202990401650702022069999990299029999999999999999999999999999999999999999990101
160293最年輕的男  999 999999913    07111221290521385800096252021  1 200058010302032                                                                                                                                                                      01030203040403010203020101030402050105040101980203010799080502600702022069999996399999999999999999999999999999999999999999905990101
160299最年長的男  999 999999913    071112212937214001000200081    1 300262010504012                                                                                                                                                                      01040104010103030303020304030404010101040101040101020799080201440401011059999992099999999999999999999999999999999999999019999990102
160310最年輕的女  999 999999913    071112213109213731000100022    2 300174010501051                                                                                                                                                                      01040203040103010203020303030303039999010202030201010101990502740603033029999996399999999999999999999999999999999999999999910990201
