010005最年輕的女  999 999999903    080927201713202649000200182    1 300016010302011                                                                                                                                                                      0302030203030403030303020303030303030303040202030102990502760602027019999990699999999990599999999999999999999999999999999990201
010006最年長的女  999 999999903    08100220395120473200096504045  2 300133010401012                                                                                                                                                                      0202029802030303030303030202030302030303020202040101990303420503031059999996399999999999999999999999999999999999999999910990201
010010唯一合格男  999 999999903    080927195237200309000200151    2 200093010201011                                                                                                                                                                      01010203040302020302030302030496020203030301010401029905015004020210599999907999999999999119999999999999999999999999999999901010101020304030202030203030203049602020303030101040102990501500402021059999990799999999999911999999999999999999999999999999990101
010019最年輕的女  999 999999903    08092721335021355800096502024  2 300008010101011                                                                                                                                                                      02020203010403020202010203020403020303020203020402029902017306989830299999906999999999919999999999999999999999999999999999902010202020301040302020201020302040302030302020302040202990201730698983029999990699999999991999999999999999999999999999999999990201
010020最年長的女  999 999999903    081002215153220818000200121    2 300020010603012                                                                                                                                                                      03019898020202950302030203020303030202030202020301029906023502020290160299902990199999999999999999999999999999999999999999902010301989802020295030203020302030303020203020202030102990602350202029016029990299019999999999999999999999999999999999999999990201
010024唯一合格女  999 999999903    08100220102620115100094507026  2 200256010201011                                                                                                                                                                      02020203030302030303020303020303020303020303010401029905024906020210599999903999908999999999999999999999999999999999999999902010202020303030203030302030302030302030302030301040102990502490602021059999990399990899999999999999999999999999999999999999990201
010031唯一合格男  999 999999903    08100118544419035300090202022  1 300424010201011                                                                                                                                                                      02020203040303030202020203030404010304030203020401029905025105010130199999912999999999999999999999920999999999999999999999901010202020304030303020202020303040401030403020302040102990502510501013019999991299999999999999999999992099999999999999999999990101
010033唯一合格男  999 999999903    08092719535320052800096202002  2 300004010301011                                                                                                                                                                      01020303020302030202030201040204020204010102020404019904024704030310599999964999999999999999999999999999999999999999999990301010102030302030203020203020104020402020401010202040401990402470403031059999996499999999999999999999999999999999999999999999030101
010036最年輕的男  999 999999903    08092719540320072000086103046  1 300273010704071                                                                                                                                                                      0302010204010101020201010403010404030101980302029899080601750202059059999110699999999991699999999999999999999999999999999990104
010040最年輕的女  999 999999903    080927195412200653000200098    2 300231010602061                                                                                                                                                                      0102020104980203030202029602020302020301010201040101990601490402029041059990699999999990599999999999999999999999999999999990201
010042唯一合格女  999 999999903    08092719541320051900095202029  2 300020010201011                                                                                                                                                                      02020203020302020203020102030302020303020202020302029905026105020130299999915999999999999999999999999999901999999999999999902010202020302030202020302010203030202030302020202030202990502610502013029999991599999999999999999999999999990199999999999999990201
010047最年輕的男  999 999999903    08100219521620055600097254011  2 300030011006101                                                                                                                                                                      01010202030303020202950395010403020303029595020307990806017004020230299999907999999999999149999999999999999999999999999999901010101020203030302020295039501040302030302959502030799080601700402023029999990799999999999914999999999999999999999999999999990101
010060最年輕的男  999 999999903    08092719550020073800097252014  1 300036010402041                                                                                                                                                                      03020304030402030202020104020402040404020203020407990806016305020260299999911999999999999999999993199999999999999999999999901010302030403040203020202010402040204040402020302040799080601630502026029999991199999999999999999999319999999999999999999999990101
010075唯一合格女  999 999999903    08093018512419001300096202007  2 300068010201011                                                                                                                                                                      02020297049801010101020204010302020201010102980407990804025204030230299999963999999999999999999999999999999999999999999129902010202029704980101010102020401030202020101010298040799080402520403023029999996399999999999999999999999999999999999999999912990201
010082唯一合格女  999 999999903    08093021310021390600096202007  2 300068010201012                                                                                                                                                                      02010103040402020101010103030401010404030304020207990806015604020240199999910999999999999999999149999999999999999999999999902010201010304040202010101010303040101040403030402020799080601560402024019999991099999999999999999914999999999999999999999999990201
010084唯一合格男  999 999999903    08092719560720052700097207245  2 300012010301011                                                                                                                                                                      03010401030404020203020203010104020303030303020306990805027004020260299999907999999999999119999999999999999999999999999999901010301040103040402020302020301010402030303030302030699080502700402026029999990799999999999911999999999999999999999999999999990101
010104唯一合格女  999 999999903    08092720161420240800097207243  2 300016010201011                                                                                                                                                                      0202960303030303020303020203030303040402960302040799080597520402029012029999599999999999999999999999999999999999999999999990201
010108唯一合格男  999 999999903    08092719571220064500095209038  2 300065010201011                                                                                                                                                                      01010298010202010198010103030304020203020101020319990404015403020260299999903999906999999999999999999999999999999999999999901010101029801020201019801010303030402020302010102031999040401540302026029999990399990699999999999999999999999999999999999999990101
010110最年長的女  999 999999903    08092719571820113100096703032  2 300050010603012                                                                                                                                                                      01020203020402030302020102030303020304030203970402029906025805020240199999918999999999999999999999999999999999901999999999902010102020302040203030202010203030302030403020397040202990602580502024019999991899999999999999999999999999999999990199999999990201
010125最年長的女  999 999999903    080930214817220428000200081    1 300358010402012                                                                                                                                                                      01030203040198019698980104030498029896960203020407990898974602020290130299963999999999999999999999999999999999999999999029902040103020304019801969898010403049802989696020302040799089897460202029013029996399999999999999999999999999999999999999999902990204
010127唯一合格女  999 999999903    080927195804201138000200182    1 300016010302011                                                                                                                                                                      01010298030303030303030203040402010403030101029807990805025903020290160299910999999999999999999129999999999999999999999999902010101029803030303030303020304040201040303010102980799080502590302029016029991099999999999999999912999999999999999999999999990201
010130最年輕的女  999 999999903    08100119232919344000096101067  2 300012010402041                                                                                                                                                                      02020203040402020301010104040302020404030203020402029905016004020230299999912999999999999999999999906999999999999999999999902010202020304040202030101010404030202040403020302040202990501600402023029999991299999999999999999999990699999999999999999999990201
010135最年輕的女  999 999999903    080930192340193027000100020    1 200470010300012                                                                                                                                                                      02020398030303030403040398030303020303049803020401019905024801040460299999903999903999999999999999999999999999999999999999902010202039803030303040304039803030302030304980302040101990502480104046029999990399990399999999999999999999999999999999999999990201
010140最年長的男  999 999999903    08092719591120061500095601027  2 200068010502012                                                                                                                                                                      02010402040404020303040102040404010404030102010401019904024703020250199999910999999999999999999069999999999999999999999999901010201040204040402030304010204040401040403010201040101990402470302025019999991099999999999999999906999999999999999999999999990101
010143最年輕的女  999 999999903    080927195918201200000200140    1 200052010200021                                                                                                                                                                      0303030303030396020203010303039602020302030301049699030502360302029016019991399999999999999999999999913999999999999999999990201
010144唯一合格女  999 999999903    08092720102520111800097203046  2 300004010100011                                                                                                                                                                      03020303020303020303020302030204030302030202010407990805025403010190390299915999999999999999999999999999910999999999999999902010302030302030302030302030203020403030203020201040799080502540301019039029991599999999999999999999999999991099999999999999990201
010147最年輕的女  999 999999903    08092721320421513500095509205  2 200052010201011                                                                                                                                                                      04039696030303960202960204020301010304020301960401019906024704010140199999902990799999999999999999999999999999999999999999902010403969603030396020296020402030101030402030196040101990602470401014019999990299079999999999999999999999999999999999999999990201
010155唯一合格女  999 999999903    08100318214018302000097252010  2 300029010201012                                                                                                                                                                      02020203040396020202010102020401020401030101029595990898015804020260299999911999999999999999999992799999999999999999999999902010202020304039602020201010202040102040103010102959599089801580402026029999991199999999999999999999279999999999999999999999990201
010158最年輕的男  999 999999903    08100220512421003600096261005  2 300052010302031                                                                                                                                                                      02020201020301010201029603020302030303030102020402019902013704020250199999912999999999999999999999919999999999999999999999901020202020102030101020102960302030203030303010202040201990201370402025019999991299999999999999999999991999999999999999999999990102
010169唯一合格女  999 999999903    08092720010020160100096502024  2 300008010403011                                                                                                                                                                      01020303020302010202010203030404020203020102010302019904015104020290130299964999999999999999999999999999999999999999999990502010102030302030201020201020303040402020302010201030201990401510402029013029996499999999999999999999999999999999999999999999050201
010175唯一合格女  999 999999903    08092720013520101900094507026  2 200256010201012                                                                                                                                                                      0201020302040102020203020201040101010302010202040799080502510401023029999990107999999999999999999999999999999999999999999990201
010194唯一合格男  999 999999903    08092720151420172700095509205  2 200052010201011                                                                                                                                                                      04020295030301010202020104030402010302010102020402019904015404020210699999907999999999999209999999999999999999999999999999901010402029503030101020202010403040201030201010202040201990401540402021069999990799999999999920999999999999999999999999999999990101
010204唯一合格男  999 999999903    08092720031220130000097508007  2 300004010101011                                                                                                                                                                      0396969604040203030304020303040302030202020302040102990601410202026029999991699999999999999999999999999999902999999999999990101
010216最年輕的女  999 999999903    08100218133018224000096203064  2 300072010000000                                                                                                                                                                      02020203020303030303030302020303020303030303020302029904017206020230399999911999999999999999999991299999999999999999999999902010202020302030303030303030202030302030303030302030202990401720602023039999991199999999999999999999129999999999999999999999990201
010223唯一合格男  999 999999903    081002202538203223000200098    2 300231010502051                                                                                                                                                                      03010101010301010101010101010404010404010101020495990406019503020250199999907999999999999959999999999999999999999999999999901010301010101030101010101010101040401040401010102049599040601950302025019999990799999999999995999999999999999999999999999999990101
010224唯一合格女  999 999999903    08092720035920130400096202007  2 300068010100011                                                                                                                                                                      03010204040402010201010204010404040402010204020402029906014504010190190299915999999999999999999999999999903999999999999999902010301020404040201020101020401040404040201020402040202990601450401019019029991599999999999999999999999999990399999999999999990201
010226最年輕的男  999 999999903    08093018452718554500095206034  1 300424010603012                                                                                                                                                                      0101010204010103010101010201040101010101010402040799080103440502024019999991299999999999999999999990399999999999999999999990101
