010001唯一合格女  999 999999903    08120520080820144700096207318  2 300136010201011                                                                                                                                                                      0702030303020404040203020103030201010201030799080602670502023029999991899999999999999999999999999999999990399999999990201
010003唯一合格女  999 999999903    081205200811201726000200056    2 300722010302011                                                                                                                                                                      1302030104020104040403010401010401020101030202990202660402029059996020299099999999999999999999999999999999999999999990201
010007最年輕的女  999 999999903    08120520082420175600095509205  2 200056010301031                                                                                                                                                                      0703020202020303020103020204030201010201040799080501650602021049999992099999999999999999999999999999999999999019999990201
010008唯一合格男  999 999999903    081207191231192013000200085    1 300219010101011                                                                                                                                                                      0801010103010101010101010101010101010201040101990501510602021059999991299999999999999999999992499999999999999999999990101
010011唯一合格女  999 999999903    081206184922184959000200128    1 300046010201011                                                                                                                                                                      9203020202010403030203020203969601979701969699080602540602029033029990113999999999999999999999999999999999999999999990201
010016唯一合格女  999 999999903    08120520084420181600096205059  1 200012010201011                                                                                                                                                                      9203030203020203030204010101030203010201040102990502580502023019999992199999999999999999999999999999999999999990199990201
010017唯一合格男  999 999999903    081205200845201758000200128    1 300046010101011                                                                                                                                                                      0902030103020303030303020202020203010201960799960501510502023029999990105999999999999999999999999999999999999999999990101
010046唯一合格女  999 999999903    08120719114419203100087503234  2 300682010201011                                                                                                                                                                      1798030203020298989895020103030201010201031999080595520503023029999990103999999999999999999999999999999999999999999990201
010050唯一合格女  999 999999903    08120719375519391300097260008  2 300008010201011                                                                                                                                                                      0902030303020303030303030203020301020101030799080301700402023029999990102999999999999999999999999999999999999999999990201
010059唯一合格女  999 999999903    081205201124201843000200151    2 200104010201011                                                                                                                                                                      0404040402020404030403010202010401010201030102990501600602023029999991899999999999999999999999999999999990199999999990201
010064唯一合格女  999 999999903    08120520113120183100096307023  2 300008010201011                                                                                                                                                                      0401040203010303030204010302010402010202010201990401630603039011059991099999999999999999912999999999999999999999999990201
010065唯一合格女  999 999999903    08120521171021291100097207243  2 300030010401041                                                                                                                                                                      0601049604020404040303010202030402010201970502990401520402029012109990699999999991999999999999999999999999999999999990201
