140003最年長的女  999 999999903    091216214146215131000200140    1 200160010603012                                                                                                                                                                      0203030301010102010199019901990299070706050602980799080602670602021049999990699999999990499999999999999999999999999999999990201
140004最年長的女  999 999999903    09121620343720354000096205086  1 300034010401012                                                                                                                                                                      0102020201010101020199029901990199090808060903030102990502400602029069992066499999999999999999999999999999999999999999999080201
140016唯一合格男  999 999999903    091219133737134931000200075    1 300448010201012                                                                                                                                                                      0104010301020201010299019902990299060203030401030201990401310602022049999991199999999999999999999129999999999999999999999990101
140021最年長的女  999 999999903    09121722011122113500098261012  2 300115010501012                                                                                                                                                                      0104010401010496010299019902990199950300030501020101990601500502026029999990104999999999999999999999999999999999999999999990201
140035唯一合格女  999 999999903    091219155744161621000200214    2 300036010301011                                                                                                                                                                      0403049702020102020299019901990299101010101003020101990501600402026029999990699999999991799999999999999999999999999999999990201
140036最年輕的女  999 999999903    091216205501210540000100032    1 300228010503051                                                                                                                                                                      0103010401010402010305019901990199030503030201039699080401430502021049999990111999999999999999999999999999999999999999999990201
140041最年長的女  999 999999903    09121621344121445200096104024  1 300028010201012                                                                                                                                                                      0303020303010104010299019901990199101010070703010102990302550502023029999990699999999991599999999999999999999999999999999990201
140057唯一合格男  999 999999903    091216203024204733000200081    1 300805010201011                                                                                                                                                                      0104019601010201020199019996040199090504030801030799080501520501011059999991999999999999999999999999999999999999904999999990101
140070唯一合格女  999 999999903    09121621522622002200097205090  1 300021010201012                                                                                                                                                                      0203020296020104030304019901990299070807070803030102990502660602023029999991399999999999999999999999914999999999999999999990201
140079唯一合格男  999 999999903    09121620320520422300095207347  2 300094010201011                                                                                                                                                                      0103020301020202010299019901990199060508020502030202990601600501011059999990499999903999999999999999999999999999999999999990101
140084唯一合格男  999 999999903    091216203219204450000200140    1 200160010201011                                                                                                                                                                      0296980401960401010299019902990299020703030301030202990601360302026029999990999999999999999991899999999999999999999999999990101
140098最年輕的男  999 999999903    091219134106134610000200217    1 300016010402041                                                                                                                                                                      0303020302020202030199029902990199050606050702029799080502580402023019999990112999999999999999999999999999999999999999999990101
140100唯一合格女  999 999999903    09121918125318240500095207347  2 300094010201011                                                                                                                                                                      0402040202030203020304019902990299070707060703030101990602530203024019999996499999999999999999999999999999999999999999999110201
140102最年輕的女  999 999999903    09121620334320420400097601149  2 300084010401041                                                                                                                                                                      0203010301010202030299029901990199080707060602010102990502520602022039999991999999999999999999999999999999999999906999999990201
140111唯一合格男  999 999999903    09121620340920460700097502031  2 300024010301012                                                                                                                                                                      0202020201040201010299019902990199030202020502029899080602610402023029999990999999999999999990199999999999999999999999999990101
140114唯一合格女  999 999999903    09121620341720440100097260014  1 300114010201011                                                                                                                                                                      0302020302020202020299029901990299070606050602020102990502560402029012149990399990799999999999999999999999999999999999999990201
140118最年長的女  999 999999903    09122018540019034400087503234  2 300712010402041                                                                                                                                                                      0103010401030402020299019901990299050703050701030202990501770602027019999990699999999990599999999999999999999999999999999990201
140126唯一合格女  999 999999903    091219133249134351000200216    1 300024010100011                                                                                                                                                                      0303020403020104010299019902999599050705050302970799080502580503021059999996499999999999999999999999999999999999999999999030201
140132最年長的女  999 999999903    09121620352320522000095260001  1 300093010502012                                                                                                                                                                      0403010201010101020199019997040199070607040502010102990302510402023029999990699999999991599999999999999999999999999999999990201
140147唯一合格男  999 999999903    09121620360320452700096104024  1 300028010201012                                                                                                                                                                      0203020302010202010199029901990299080706070803020799080401590502021049999990799999999999913999999999999999999999999999999990101
140148唯一合格女  999 999999903    09121720003820080800097205052  1 200126010201011                                                                                                                                                                      0104010402010302010299019902990299050300000301030202990401600602021049999990111999999999999999999999999999999999999999999990201
140155唯一合格女  999 999999903    091216203627204413000200122    2 200072010201011                                                                                                                                                                      0302030202020202020299970501990299060505050502030202990302550502023029999996399999999999999999999999999999999999999999910990201
140156最年長的男  999 999999903    09121620363020445000095202004  1 300344010402012                                                                                                                                                                      0104010304010104030299029901990199060506040402010102990302390603031049999990103999999999999999999999999999999999999999999990101
140163唯一合格女  999 999999903    091216204502204751000200170    2 300306010201012                                                                                                                                                                      0203960301020304010304019901999604070706050702029899080602580401014019999991799999999999999999999999999999999079999999999990201
140177唯一合格男  999 999999903    091216203745210157000200078    1 300247010101011                                                                                                                                                                      0103010301010104030199019901990299080509070903020101990502450402021059999991199999999999999999999199999999999999999999999990104
140179唯一合格男  999 999999903    09121621322221422500097202015  2 300044010301011                                                                                                                                                                      0203020302040302020304029902990299060605050502030202990501440502026029999991199999999999999999999039999999999999999999999990101
140185唯一合格男  999 999999903    09121820411020575400097202013  2 300032010201011                                                                                                                                                                      0204020302010104960306019901990199979797979701020799080502620702021049999991999999999999999999999999999999999999907999999990101
